Region ,Market,Maize (Min Price),Maize (Max Price),Date
Mtwara,Mtwara,"40,000","45,000","8th October, 2021"
Kilimanajaro,Moshi,"55,000","55,000","8th October, 2021"
Tabora,Tabora,"38,000","40,000","8th October, 2021"
Tanga,Tanga,"49,074","52,000","8th October, 2021"
Ruvuma,Songea,"27,000","30,000","8th October, 2021"
Shinyanga,Shinyanga,"42,000","46,000","8th October, 2021"
Rukwa,Sumbawanga,"33,000","33,000","8th October, 2021"
Arusha,Arusha (Urban),"50,000","50,500","11th October, 2021"
D'Salaam,Ilala (Buguruni),"47,000","48,000","11th October, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","11th October, 2021"
Dodoma,Majengo,"43,000","50,000","11th October, 2021"
Dodoma,Kibaigwa,"40,000","42,000","11th October, 2021"
Iringa,Iringa,"32,000","35,000","11th October, 2021"
Kagera,Bukoba,"56,000","62,000","11th October, 2021"
Kilimanajaro,Moshi,"55,000","55,000","11th October, 2021"
Lindi,Lindi,"70,000","70,000","11th October, 2021"
Manyara,Babati,"45,000","52,000","11th October, 2021"
Mara,Musoma,"60,000","65,000","11th October, 2021"
Morogoro,Morogoro,"46,875","46,875","11th October, 2021"
Mtwara,Mtwara,"40,000","45,000","11th October, 2021"
Njombe,Njombe,"38,000","42,000","11th October, 2021"
Rukwa,Sumbawanga,"33,000","33,000","11th October, 2021"
Ruvuma,Songea,"28,000","30,000","11th October, 2021"
Shinyanga,Shinyanga,"42,000","46,000","11th October, 2021"
Tabora,Tabora,"38,000","40,000","11th October, 2021"
Tanga,Tanga,"48,148","49,074","11th October, 2021"
Arusha,Arusha (Urban),"50,000","51,000","15th October, 2021"
D'Salaam,Ilala (Buguruni),"47,000","48,000","15th October, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","15th October, 2021"
Dodoma,Majengo,"43,000","51,000","15th October, 2021"
Dodoma,Kibaigwa,"40,000","42,000","15th October, 2021"
Kagera,Bukoba,"62,000","65,000","15th October, 2021"
Kigoma,Kigoma,"42,000","44,000","15th October, 2021"
Iringa,Iringa,"32,000","35,000","15th October, 2021"
Lindi,Lindi,"70,000","100,000","15th October, 2021"
Manyara,Babati,"45,000","52,000","15th October, 2021"
Mara,Musoma,"60,000","65,000","15th October, 2021"
Morogoro,Morogoro,"46,875","46,875","15th October, 2021"
Njombe,Njombe,"38,000","42,000","15th October, 2021"
Mtwara,Mtwara,"40,000","45,000","15th October, 2021"
Mwanza,Mwanza,"60,000","68,000","15th October, 2021"
Rukwa,Sumbawanga,"31,000","33,000","15th October, 2021"
Ruvuma,Songea,"27,000","30,000","15th October, 2021"
Shinyanga,Shinyanga,"42,000","46,000","15th October, 2021"
Tabora,Tabora,"38,000","40,000","15th October, 2021"
Tanga,Tanga,"48,148","49,074","15th October, 2021"
Arusha,Arusha (Urban),"50,000","51,000","18th October, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","18th October, 2021"
Dodoma,Majengo,"40,000","46,000","18th October, 2021"
Dodoma,Kibaigwa,"40,000","43,000","18th October, 2021"
Kagera,Bukoba,"60,000","65,000","18th October, 2021"
Kigoma,Kigoma,"42,000","44,000","18th October, 2021"
Iringa,Iringa,"32,000","35,000","18th October, 2021"
Manyara,Babati,"50,000","60,000","18th October, 2021"
Mara,Musoma,"60,000","65,000","18th October, 2021"
Morogoro,Morogoro,"46,875","47,656","18th October, 2021"
Mtwara,Mtwara,"40,000","45,000","18th October, 2021"
Mwanza,Mwanza,"60,000","68,000","18th October, 2021"
Njombe,Njombe,"38,000","42,000","18th October, 2021"
Rukwa,Sumbawanga,"30,000","33,000","18th October, 2021"
Ruvuma,Songea,"28,000","30,000","18th October, 2021"
Shinyanga,Shinyanga,"42,000","46,000","18th October, 2021"
Tabora,Tabora,"38,000","40,000","18th October, 2021"
Tanga,Tanga,"48,148","49,074","18th October, 2021"
Arusha,Arusha (Urban),"50,000","51,000","20th October, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","20th October, 2021"
Dodoma,Majengo,"40,000","46,000","20th October, 2021"
Dodoma,Kibaigwa,"40,000","43,000","20th October, 2021"
Kagera,Bukoba,"60,000","65,000","20th October, 2021"
Kigoma,Kigoma,"42,000","44,000","20th October, 2021"
Iringa,Iringa,"32,000","35,000","20th October, 2021"
Manyara,Babati,"50,000","60,000","20th October, 2021"
Mara,Musoma,"60,000","65,000","20th October, 2021"
Morogoro,Morogoro,"46,875","47,656","20th October, 2021"
Mtwara,Mtwara,"40,000","45,000","20th October, 2021"
Mwanza,Mwanza,"60,000","68,000","20th October, 2021"
Njombe,Njombe,"38,000","42,000","20th October, 2021"
Rukwa,Sumbawanga,"30,000","33,000","20th October, 2021"
Ruvuma,Songea,"28,000","30,000","20th October, 2021"
Shinyanga,Shinyanga,"42,000","46,000","20th October, 2021"
Tabora,Tabora,"38,000","40,000","20th October, 2021"
Tanga,Tanga,"48,148","49,074","20th October, 2021"
Arusha,Arusha (Urban),"49,000","50,000","22nd October, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","22nd October, 2021"
Dodoma,Majengo,"40,000","46,000","22nd October, 2021"
Dodoma,Kibaigwa,"40,000","43,000","22nd October, 2021"
Kagera,Bukoba,"62,000","65,000","22nd October, 2021"
Kigoma,Kigoma,"42,000","44,000","22nd October, 2021"
Iringa,Iringa,"32,000","35,000","22nd October, 2021"
Manyara,Babati,"50,000","60,000","22nd October, 2021"
Mara,Musoma,"60,000","65,000","22nd October, 2021"
Morogoro,Morogoro,"46,875","47,656","22nd October, 2021"
Mtwara,Mtwara,"40,000","45,000","22nd October, 2021"
Mwanza,Mwanza,"60,000","68,000","22nd October, 2021"
Njombe,Njombe,"38,000","42,000","22nd October, 2021"
Rukwa,Sumbawanga,"30,000","33,000","22nd October, 2021"
Ruvuma,Songea,"27,000","30,000","22nd October, 2021"
Shinyanga,Shinyanga,"42,000","46,000","22nd October, 2021"
Tabora,Tabora,"38,000","40,000","22nd October, 2021"
Tanga,Tanga,"48,148","49,074","22nd October, 2021"
Arusha,Arusha (Urban),"49,000","50,000","25th October, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","25th October, 2021"
Dodoma,Majengo,"40,000","46,000","25th October, 2021"
Dodoma,Kibaigwa,"40,000","43,000","25th October, 2021"
Kagera,Bukoba,"62,000","65,000","25th October, 2021"
Kigoma,Kigoma,"47,200","47,200","25th October, 2021"
Iringa,Iringa,"32,000","35,000","25th October, 2021"
Manyara,Babati,"50,000","60,000","25th October, 2021"
Mara,Musoma,"60,000","65,000","25th October, 2021"
Morogoro,Morogoro,"46,875","47,656","25th October, 2021"
Mtwara,Mtwara,"40,000","45,000","25th October, 2021"
Mwanza,Mwanza,"60,000","68,000","25th October, 2021"
Njombe,Njombe,"38,000","42,000","25th October, 2021"
Rukwa,Sumbawanga,"32,000","33,000","25th October, 2021"
Ruvuma,Songea,"27,000","30,000","25th October, 2021"
Shinyanga,Shinyanga,"42,000","46,000","25th October, 2021"
Tabora,Tabora,"41,000","42,000","25th October, 2021"
Tanga,Tanga,"48,148","49,074","25th October, 2021"
Arusha,Arusha (Urban),"49,000","50,000","27th October, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","27th October, 2021"
Dodoma,Majengo,"40,000","46,000","27th October, 2021"
Dodoma,Kibaigwa,"40,000","43,000","27th October, 2021"
Kagera,Bukoba,"62,000","65,000","27th October, 2021"
Kigoma,Kigoma,"47,200","47,200","27th October, 2021"
Iringa,Iringa,"32,000","35,000","27th October, 2021"
Manyara,Babati,"50,000","60,000","27th October, 2021"
Mara,Musoma,"60,000","65,000","27th October, 2021"
Morogoro,Morogoro,"46,875","47,656","27th October, 2021"
Mtwara,Mtwara,"40,000","45,000","27th October, 2021"
Mwanza,Mwanza,"60,000","68,000","27th October, 2021"
Njombe,Njombe,"38,000","42,000","27th October, 2021"
Rukwa,Sumbawanga,"30,000","36,000","27th October, 2021"
Ruvuma,Songea,"27,000","30,000","27th October, 2021"
Shinyanga,Shinyanga,"42,000","46,000","27th October, 2021"
Tabora,Tabora,"41,000","42,000","27th October, 2021"
Tanga,Tanga,"51,851","50,000","27th October, 2021"
Arusha,Arusha (Urban),"49,000","50,000","1st November, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","1st November, 2021"
Dodoma,Majengo,"40,000","46,000","1st November, 2021"
Dodoma,Kibaigwa,"40,000","43,000","1st November, 2021"
Kagera,Bukoba,"62,000","65,000","1st November, 2021"
Kigoma,Kigoma,"47,200","47,200","1st November, 2021"
Iringa,Iringa,"32,000","35,000","1st November, 2021"
Manyara,Babati,"50,000","60,000","1st November, 2021"
Mara,Musoma,"60,000","65,000","1st November, 2021"
Morogoro,Morogoro,"46,875","47,656","1st November, 2021"
Mtwara,Mtwara,"40,000","45,000","1st November, 2021"
Mwanza,Mwanza,"60,000","68,000","1st November, 2021"
Njombe,Njombe,"38,000","42,000","1st November, 2021"
Rukwa,Sumbawanga,"30,000","36,000","1st November, 2021"
Ruvuma,Songea,"27,000","30,000","1st November, 2021"
Shinyanga,Shinyanga,"42,000","46,000","1st November, 2021"
Tabora,Tabora,"41,000","42,000","1st November, 2021"
Tanga,Tanga,"51,851","50,000","1st November, 2021"
Arusha,Arusha (Urban),"49,000","50,000","3rd November, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","3rd November, 2021"
Dodoma,Majengo,"44,000","48,000","3rd November, 2021"
Dodoma,Kibaigwa,"40,000","43,000","3rd November, 2021"
Kagera,Bukoba,"60,000","65,000","3rd November, 2021"
Kigoma,Kigoma,"47,200","47,300","3rd November, 2021"
Iringa,Iringa,"33,000","33,000","3rd November, 2021"
Manyara,Babati,"50,000","60,000","3rd November, 2021"
Mara,Musoma,"60,000","65,000","3rd November, 2021"
Morogoro,Morogoro,"46,875","47,656","3rd November, 2021"
Mtwara,Mtwara,"40,000","45,000","3rd November, 2021"
Mwanza,Mwanza,"60,000","68,000","3rd November, 2021"
Njombe,Njombe,"38,000","42,000","3rd November, 2021"
Rukwa,Sumbawanga,"30,000","36,000","3rd November, 2021"
Ruvuma,Songea,"27,000","30,000","3rd November, 2021"
Shinyanga,Shinyanga,"42,000","46,000","3rd November, 2021"
Tabora,Tabora,"41,000","42,000","3rd November, 2021"
Tanga,Tanga,"50,925","50,925","3rd November, 2021"
Arusha,Arusha (Urban),"48,000","50,000","5th November, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","5th November, 2021"
Dodoma,Majengo,"44,000","48,000","5th November, 2021"
Dodoma,Kibaigwa,"40,000","43,000","5th November, 2021"
Kagera,Bukoba,"60,000","65,000","5th November, 2021"
Kigoma,Kigoma,"50,000","50,000","5th November, 2021"
Iringa,Iringa,"33,000","33,000","5th November, 2021"
Manyara,Babati,"50,000","60,000","5th November, 2021"
Mara,Musoma,"60,000","65,000","5th November, 2021"
Morogoro,Morogoro,"46,875","47,656","5th November, 2021"
Mtwara,Mtwara,"40,000","45,000","5th November, 2021"
Mwanza,Mwanza,"60,000","68,000","5th November, 2021"
Njombe,Njombe,"38,000","42,000","5th November, 2021"
Rukwa,Sumbawanga,"30,000","36,000","5th November, 2021"
Ruvuma,Songea,"27,000","30,000","5th November, 2021"
Shinyanga,Shinyanga,"42,000","46,000","5th November, 2021"
Tabora,Tabora,"41,000","42,000","5th November, 2021"
Tanga,Tanga,"50,925","50,925","5th November, 2021"
Arusha,Arusha (Urban),"48,000","49,000","8th November, 2021"
D'Salaam,Kinondoni(Tandale),"47,000","49,000","8th November, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","8th November, 2021"
Dodoma,Majengo,"44,000","50,000","8th November, 2021"
Dodoma,Kibaigwa,"40,000","43,000","8th November, 2021"
Kagera,Bukoba,"60,000","65,000","8th November, 2021"
Kigoma,Kigoma,"50,000","50,000","8th November, 2021"
Iringa,Iringa,"33,000","33,000","8th November, 2021"
Manyara,Babati,"50,000","60,000","8th November, 2021"
Mara,Musoma,"60,000","65,000","8th November, 2021"
Morogoro,Morogoro,"46,875","47,656","8th November, 2021"
Mtwara,Mtwara,"40,000","45,000","8th November, 2021"
Mwanza,Mwanza,"60,000","65,000","8th November, 2021"
Njombe,Njombe,"38,000","42,000","8th November, 2021"
Rukwa,Sumbawanga,"36,000","40,000","8th November, 2021"
Ruvuma,Songea,"27,000","30,000","8th November, 2021"
Shinyanga,Shinyanga,"42,000","46,000","8th November, 2021"
Lindi,Lindi,"70,000","100,000","8th November, 2021"
Tabora,Tabora,"41,000","42,000","8th November, 2021"
Tanga,Tanga,"50,925","50,925","8th November, 2021"
Arusha,Arusha (Urban),"48,000","49,000","10th November, 2021"
D'Salaam,Kinondoni(Tandale),"47,000","49,000","10th November, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","10th November, 2021"
Dodoma,Majengo,"44,000","50,000","10th November, 2021"
Dodoma,Kibaigwa,"40,000","43,000","10th November, 2021"
Kagera,Bukoba,"62,000","65,000","10th November, 2021"
Kigoma,Kigoma,"47,200","50,000","10th November, 2021"
Iringa,Iringa,"33,000","33,000","10th November, 2021"
Manyara,Babati,"50,000","60,000","10th November, 2021"
Mara,Musoma,"60,000","65,000","10th November, 2021"
Morogoro,Morogoro,"46,875","47,656","10th November, 2021"
Mtwara,Mtwara,"45,000","45,000","10th November, 2021"
Mwanza,Mwanza,"60,000","65,000","10th November, 2021"
Njombe,Njombe,"38,000","42,000","10th November, 2021"
Rukwa,Sumbawanga,"33,000","39,000","10th November, 2021"
Ruvuma,Songea,"27,000","30,000","10th November, 2021"
Shinyanga,Shinyanga,"42,000","46,000","10th November, 2021"
Lindi,Lindi,"70,000","100,000","10th November, 2021"
Tabora,Tabora,"41,000","42,000","10th November, 2021"
Tanga,Tanga,"50,925","50,925","10th November, 2021"
Arusha,Arusha (Urban),"48,000","49,000","12th November, 2021"
D'Salaam,Kinondoni(Tandale),"53,000","60,000","12th November, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","12th November, 2021"
Dodoma,Majengo,"44,000","50,000","12th November, 2021"
Dodoma,Kibaigwa,"40,000","43,000","12th November, 2021"
Kagera,Bukoba,"62,000","65,000","12th November, 2021"
Kigoma,Kigoma,"47,200","50,000","12th November, 2021"
Iringa,Iringa,"33,000","33,000","12th November, 2021"
Manyara,Babati,"50,000","60,000","12th November, 2021"
Mara,Musoma,"60,000","65,000","12th November, 2021"
Morogoro,Morogoro,"46,875","47,656","12th November, 2021"
Mtwara,Mtwara,"45,000","45,000","12th November, 2021"
Mwanza,Mwanza,"60,000","65,000","12th November, 2021"
Njombe,Njombe,"38,000","42,000","12th November, 2021"
Rukwa,Sumbawanga,"33,000","39,000","12th November, 2021"
Ruvuma,Songea,"27,000","30,000","12th November, 2021"
Shinyanga,Shinyanga,"42,000","46,000","12th November, 2021"
Lindi,Lindi,"70,000","100,000","12th November, 2021"
Tabora,Tabora,"41,000","42,000","12th November, 2021"
Tanga,Tanga,"50,925","50,925","12th November, 2021"
Arusha,Arusha (Urban),"48,000","50,000","15th November, 2021"
D'Salaam,Kinondoni(Tandale),"53,000","60,000","15th November, 2021"
D'Salaam,Temeke(Tandika),"47,000","49,000","15th November, 2021"
Dodoma,Majengo,"45,000","52,000","15th November, 2021"
Dodoma,Kibaigwa,"45,000","45,000","15th November, 2021"
Iringa,Iringa,"35,000","35,000","15th November, 2021"
Kagera,Bukoba,"62,000","65,000","15th November, 2021"
Katavi,Mpanda,"35,000","42,000","15th November, 2021"
Kilimanajro,Moshi,"57,000","60,000","15th November, 2021"
Kigoma,Kigoma,"47,200","50,000","15th November, 2021"
Lindi,Lindi,"70,000","100,000","15th November, 2021"
Manyara,Babati,"50,000","60,000","15th November, 2021"
Mara,Musoma,"60,000","65,000","15th November, 2021"
Morogoro,Morogoro,"42,968","43,750","15th November, 2021"
Mtwara,Mtwara,"45,000","45,000","15th November, 2021"
Mwanza,Mwanza,"60,000","65,000","15th November, 2021"
Njombe,Njombe,"50,000","50,000","15th November, 2021"
Rukwa,Sumbawanga,"35,000","39,000","15th November, 2021"
Shinyanga,Shinyanga,"42,000","46,000","15th November, 2021"
Tabora,Tabora,"41,000","42,000","15th November, 2021"
Tanga,Tanga,"50,925","50,925","15th November, 2021"
Arusha,Arusha (Urban),"48,000","50,000","17th November, 2021"
D'Salaam,Kinondoni(Tandale),"53,000","60,000","17th November, 2021"
D'Salaam,Temeke(Tandika),"49,000","50,000","17th November, 2021"
Dodoma,Majengo,"45,000","52,000","17th November, 2021"
Dodoma,Kibaigwa,"45,000","45,000","17th November, 2021"
Iringa,Iringa,"33,000","35,000","17th November, 2021"
Kagera,Bukoba,"62,000","65,000","17th November, 2021"
Katavi,Mpanda,"35,000","42,000","17th November, 2021"
Kilimanajro,Moshi,"57,000","60,000","17th November, 2021"
Kigoma,Kigoma,"47,200","50,000","17th November, 2021"
Lindi,Lindi,"70,000","100,000","17th November, 2021"
Manyara,Babati,"48,000","60,000","17th November, 2021"
Mara,Musoma,"60,000","65,000","17th November, 2021"
Morogoro,Morogoro,"42,968","43,750","17th November, 2021"
Mtwara,Mtwara,"45,000","45,000","17th November, 2021"
Mwanza,Mwanza,"60,000","65,000","17th November, 2021"
Njombe,Njombe,"50,000","50,000","17th November, 2021"
Rukwa,Sumbawanga,"35,000","39,000","17th November, 2021"
Ruvuma,Songea,"30,000","30,000","17th November, 2021"
Shinyanga,Shinyanga,"42,000","46,000","17th November, 2021"
Tabora,Tabora,"41,000","42,000","17th November, 2021"
Tanga,Tanga,"50,925","50,925","17th November, 2021"
Arusha,Arusha (Urban),"48,000","50,000","19th November, 2021"
D'Salaam,Kinondoni(Tandale),"45,000","50,000","19th November, 2021"
Dodoma,Majengo,"45,000","52,000","19th November, 2021"
Dodoma,Kibaigwa,"45,000","45,000","19th November, 2021"
Iringa,Iringa,"33,000","35,000","19th November, 2021"
Kagera,Bukoba,"60,000","65,000","19th November, 2021"
Katavi,Mpanda,"35,000","42,000","19th November, 2021"
Kilimanajro,Moshi,"57,000","57,000","19th November, 2021"
Kigoma,Kigoma,"47,200","50,000","19th November, 2021"
Lindi,Lindi,"70,000","100,000","19th November, 2021"
Manyara,Babati,"48,000","60,000","19th November, 2021"
Mara,Musoma,"60,000","65,000","19th November, 2021"
Morogoro,Morogoro,"46,875","46,875","19th November, 2021"
Mtwara,Mtwara,"45,000","45,000","19th November, 2021"
Mwanza,Mwanza,"62,000","68,000","19th November, 2021"
Njombe,Njombe,"50,000","50,000","19th November, 2021"
Rukwa,Sumbawanga,"35,000","39,000","19th November, 2021"
Ruvuma,Songea,"30,000","30,000","19th November, 2021"
Shinyanga,Shinyanga,"42,000","46,000","19th November, 2021"
Tabora,Tabora,"41,000","42,000","19th November, 2021"
Tanga,Tanga,"50,000","51,851","19th November, 2021"
Arusha,Arusha (Urban),"48,000","49,000","24th November, 2021"
D'Salaam,Kinondoni(Tandale),"47,000","70,000","24th November, 2021"
Dodoma,Majengo,"46,000","52,000","24th November, 2021"
Dodoma,Kibaigwa,"45,000","45,000","24th November, 2021"
Iringa,Iringa,"33,000","35,000","24th November, 2021"
Kagera,Bukoba,"60,000","65,000","24th November, 2021"
Katavi,Mpanda,"35,000","42,000","24th November, 2021"
Kilimanajro,Moshi,"57,000","57,000","24th November, 2021"
Kigoma,Kigoma,"47,200","50,000","24th November, 2021"
Lindi,Lindi,"70,000","100,000","24th November, 2021"
Manyara,Babati,"48,000","60,000","24th November, 2021"
Mara,Musoma,"60,000","65,000","24th November, 2021"
Morogoro,Morogoro,"46,875","46,875","24th November, 2021"
Mtwara,Mtwara,"45,000","45,000","24th November, 2021"
Mwanza,Mwanza,"62,000","68,000","24th November, 2021"
Njombe,Njombe,"50,000","50,000","24th November, 2021"
Rukwa,Sumbawanga,"42,000","45,000","24th November, 2021"
Ruvuma,Songea,"28,000","30,000","24th November, 2021"
Shinyanga,Shinyanga,"44,000","46,000","24th November, 2021"
Tabora,Tabora,"50,000","52,000","24th November, 2021"
Tanga,Tanga,"55,555","53,703","24th November, 2021"
Arusha,Arusha (Urban),"48,000","49,000","26th November, 2021"
D'Salaam,Kinondoni(Tandale),"52,000","70,000","26th November, 2021"
Dodoma,Majengo,"46,000","52,000","26th November, 2021"
Dodoma,Kibaigwa,"45,000","45,000","26th November, 2021"
Iringa,Iringa,"33,000","33,000","26th November, 2021"
Kagera,Bukoba,"60,000","65,000","26th November, 2021"
Katavi,Mpanda,"35,000","42,000","26th November, 2021"
Kilimanajro,Moshi,"57,000","57,000","26th November, 2021"
Kigoma,Kigoma,"47,200","50,000","26th November, 2021"
Lindi,Lindi,"70,000","100,000","26th November, 2021"
Manyara,Babati,"48,000","60,000","26th November, 2021"
Mara,Musoma,"60,000","65,000","26th November, 2021"
Morogoro,Morogoro,"46,875","46,875","26th November, 2021"
Mtwara,Mtwara,"45,000","45,000","26th November, 2021"
Mwanza,Mwanza,"62,000","68,000","26th November, 2021"
Njombe,Njombe,"50,000","50,000","26th November, 2021"
Rukwa,Sumbawanga,"42,000","45,000","26th November, 2021"
Ruvuma,Songea,"28,000","30,000","26th November, 2021"
Shinyanga,Shinyanga,"44,000","46,000","26th November, 2021"
Tabora,Tabora,"50,000","52,000","26th November, 2021"
Tanga,Tanga,"55,555","53,703","26th November, 2021"
Arusha,Arusha (Urban),"50,000","52,000","29th November, 2021"
D'Salaam,Kinondoni(Tandale),"53,000","65,000","29th November, 2021"
Dodoma,Majengo,"46,000","52,000","29th November, 2021"
Dodoma,Kibaigwa,"44,000","46,000","29th November, 2021"
Iringa,Iringa,"33,000","33,000","29th November, 2021"
Kagera,Bukoba,"60,000","65,000","29th November, 2021"
Katavi,Mpanda,"36,000","54,000","29th November, 2021"
Kilimanjaro,Moshi,"60,000","60,000","29th November, 2021"
Lindi,Lindi,"70,000","100,000","29th November, 2021"
Manyara,Babati,"48,000","60,000","29th November, 2021"
Mara,Musoma,"60,000","65,000","29th November, 2021"
Morogoro,Morogoro,"46,875","48,438","29th November, 2021"
Mtwara,Mtwara,"45,000","45,000","29th November, 2021"
Mwanza,Mwanza,"62,000","68,000","29th November, 2021"
Njombe,Njombe,"50,000","50,000","29th November, 2021"
Rukwa,Sumbawanga,"40,000","45,000","29th November, 2021"
Shinyanga,Shinyanga,"44,000","46,000","29th November, 2021"
Tabora,Tabora,"52,000","54,000","29th November, 2021"
Tanga,Tanga,"53,703","55,555","29th November, 2021"
Arusha,Arusha (Urban),"50,000","52,000","1st December, 2021"
D'Salaam,Kinondoni(Tandale),"55,000","55,000","1st December, 2021"
Dodoma,Majengo,"46,000","52,000","1st December, 2021"
Dodoma,Kibaigwa,"44,000","46,000","1st December, 2021"
Iringa,Iringa,"33,000","33,000","1st December, 2021"
Kagera,Bukoba,"60,000","65,000","1st December, 2021"
Katavi,Mpanda,"36,000","54,000","1st December, 2021"
Kilimanjaro,Moshi,"60,000","60,000","1st December, 2021"
Lindi,Lindi,"70,000","100,000","1st December, 2021"
Manyara,Babati,"48,000","60,000","1st December, 2021"
Mara,Musoma,"60,000","65,000","1st December, 2021"
Morogoro,Morogoro,"46,875","48,830","1st December, 2021"
Mtwara,Mtwara,"45,000","45,000","1st December, 2021"
Mwanza,Mwanza,"65,000","70,000","1st December, 2021"
Njombe,Njombe,"50,000","50,000","1st December, 2021"
Songea,Ruvuma,"29,000","30,000","1st December, 2021"
Rukwa,Sumbawanga,"40,000","45,000","1st December, 2021"
Shinyanga,Shinyanga,"44,000","46,000","1st December, 2021"
Tabora,Tabora,"52,000","54,000","1st December, 2021"
Tanga,Tanga,"53,703","55,555","1st December, 2021"
Arusha,Arusha (Urban),"54,000","55,000","3rd December, 2021"
D'Salaam,Kinondoni(Tandale),"55,000","55,000","3rd December, 2021"
Dodoma,Majengo,"47,000","52,000","3rd December, 2021"
Dodoma,Kibaigwa,"44,000","46,000","3rd December, 2021"
Iringa,Iringa,"43,000","43,000","3rd December, 2021"
Kagera,Bukoba,"60,000","65,000","3rd December, 2021"
Katavi,Mpanda,"36,000","54,000","3rd December, 2021"
Kilimanjaro,Moshi,"60,000","60,000","3rd December, 2021"
Lindi,Lindi,"70,000","100,000","3rd December, 2021"
Manyara,Babati,"48,000","60,000","3rd December, 2021"
Mara,Musoma,"60,000","65,000","3rd December, 2021"
Morogoro,Morogoro,"46,875","48,830","3rd December, 2021"
Mtwara,Mtwara,"45,000","45,000","3rd December, 2021"
Mwanza,Mwanza,"65,000","70,000","3rd December, 2021"
Njombe,Njombe,"50,000","50,000","3rd December, 2021"
Songea,Ruvuma,"29,000","30,000","3rd December, 2021"
Rukwa,Sumbawanga,"40,000","45,000","3rd December, 2021"
Shinyanga,Shinyanga,"44,000","46,000","3rd December, 2021"
Tabora,Tabora,"52,000","54,000","3rd December, 2021"
Tanga,Tanga,"53,703","55,555","3rd December, 2021"
Arusha,Arusha (Urban),"54,000","55,000","6th December, 2021"
D'Salaam,Kinondoni(Tandale),"55,000","55,000","6th December, 2021"
Dodoma,Majengo,"47,000","52,000","6th December, 2021"
Dodoma,Kibaigwa,"44,000","46,000","6th December, 2021"
Iringa,Iringa,"43,000","43,000","6th December, 2021"
Kagera,Bukoba,"60,000","65,000","6th December, 2021"
Katavi,Mpanda,"42,000","54,000","6th December, 2021"
Kilimanjaro,Moshi,"60,000","60,000","6th December, 2021"
Lindi,Lindi,"70,000","100,000","6th December, 2021"
Manyara,Babati,"48,000","60,000","6th December, 2021"
Mara,Musoma,"60,000","65,000","6th December, 2021"
Morogoro,Morogoro,"46,875","48,830","6th December, 2021"
Mtwara,Mtwara,"45,000","45,000","6th December, 2021"
Mwanza,Mwanza,"65,000","70,000","6th December, 2021"
Njombe,Njombe,"50,000","50,000","6th December, 2021"
Songea,Ruvuma,"29,000","30,000","6th December, 2021"
Rukwa,Sumbawanga,"40,000","45,000","6th December, 2021"
Shinyanga,Shinyanga,"44,000","46,000","6th December, 2021"
Tabora,Tabora,"52,000","54,000","6th December, 2021"
Tanga,Tanga,"53,703","55,555","6th December, 2021"
Arusha,Arusha (Urban),"54,000","55,000","8th December, 2021"
D'Salaam,Kinondoni(Tandale),"55,000","55,000","8th December, 2021"
Dodoma,Majengo,"47,000","52,000","8th December, 2021"
Dodoma,Kibaigwa,"44,000","46,000","8th December, 2021"
Iringa,Iringa,"43,000","43,000","8th December, 2021"
Kagera,Bukoba,"60,000","65,000","8th December, 2021"
Katavi,Mpanda,"42,000","54,000","8th December, 2021"
Kilimanjaro,Moshi,"60,000","60,000","8th December, 2021"
Lindi,Lindi,"70,000","100,000","8th December, 2021"
Manyara,Babati,"48,000","60,000","8th December, 2021"
Mara,Musoma,"60,000","65,000","8th December, 2021"
Morogoro,Morogoro,"58,595","58,595","8th December, 2021"
Mtwara,Mtwara,"45,000","45,000","8th December, 2021"
Mwanza,Mwanza,"65,000","70,000","8th December, 2021"
Njombe,Njombe,"50,000","50,000","8th December, 2021"
Songea,Ruvuma,"29,000","30,000","8th December, 2021"
Rukwa,Sumbawanga,"40,000","45,000","8th December, 2021"
Shinyanga,Shinyanga,"44,000","46,000","8th December, 2021"
Tabora,Tabora,"57,000","58,000","8th December, 2021"
Tanga,Tanga,"53,703","55,555","8th December, 2021"
Arusha,Arusha (Urban),"60,000","61,000","10th December, 2021 "
D'Salaam,Kinondoni(Tandale),"50,000","65,000","10th December, 2021 "
Dodoma,Majengo,"52,000","58,000","10th December, 2021 "
Dodoma,Kibaigwa,"53,000","55,000","10th December, 2021 "
Iringa,Iringa,"45,000","45,000","10th December, 2021 "
Kagera,Bukoba,"62,000","65,000","10th December, 2021 "
Katavi,Mpanda,"42,000","54,000","10th December, 2021 "
Kilimanjaro,Moshi,"60,000","60,000","10th December, 2021 "
Lindi,Lindi,"70,000","100,000","10th December, 2021 "
Manyara,Babati,"48,000","60,000","10th December, 2021 "
